"IUPPart",Project Entity,Project ID,"PPLrank","PPLpoints","SystemPopulationServed",Project Description,"BindingCommitmentDate","Part BRequestedLSLs","Part BKnownLSLs","TotalProjectCosts","IUPApprovedAmount"
Part A-2,Albert Lea,1240001-05,92,20,"18,433",Other-LSL Replacement-2025,10/16/25,,,"1,355,621","1,355,621"
Part A-2,Anoka,1020001-04,286,20,"17,892",Other-LSL Replacement,07/01/25,,,"1,146,811","1,146,811"
Part A-2,Atwater,1340001-11,144,20,"1,136",Other-LSL Replacement,,,,"232,400","232,400"
Part A-2,Blue Earth,1220001-07,205,20,"3,181",Other-LSL Replacement-2025,10/22/25,,,"1,965,600","1,965,600"
Part A-2,Breckenridge,1840002-05,139,20,"3,390",Other-LSL Replacement,09/22/25,,,"613,764","613,764"
Part A-2,Browerville,1770002-08,61,20,920,Other-LSL Replacement,,,,"275,000","275,000"
Part A-2,Crosby,1180008-12,27,20,"2,677",Other-LSL Replacement,08/21/25,,,"309,000","309,000"
Part A-2,Fairmont,1460003-04,133,20,"10,328",Other-LSL Replacement,10/27/25,,,"5,362,960","5,362,960"
Part A-2,Foley,1050001-11,320,15,"2,712",Other-LSL Replacement,11/04/25,,,"1,706,795","1,706,795"
Part A-2,Houston,1280005-05,54,20,892,Other-LSL Replacement-Spruce St,,,,"41,000","41,000"
Part A-2,International Falls,1360002-04,95,20,"5,859",Other-LSL Replacement,,,,"3,629,980","3,629,980"
Part A-2,Janesville,1810001-03,322,15,"2,455",Other-LSL Replacement,,,,"469,600","469,600"
Part A-2,Lamberton,1640003-14,130,20,847,Other-LSL Replacement-Phase 1,08/25/25,,,"323,931","323,931"
Part A-2,Little Falls,1490002-10,48,20,"9,049",Other-LSL Replacement-4th St,,,,"472,500","472,500"
Part A-2,Minneapolis,1270024-15,244,20,"424,536",Other-LSL Replacement-Streets Year 2,08/11/25,,,"3,584,055","3,584,055"
Part A-2,Minneapolis,1270024-19,248,20,"424,536",Other-LSL Replacement-Other-LSL Repl Green Zones Year 2,08/11/25,,,"3,356,344","3,356,344"
Part A-2,Minneapolis,1270024-24,287,20,"426,877",Other-LSL Replacement-2025 leaking phase 2,08/11/25,,,"3,520,000","3,520,000"
Part A-2,Moorhead,1140008-15,192,20,"43,409",Other-LSL Replacement-Phase 3,09/25/25,,,"466,630","466,630"
Part A-2,New Prague,1400013-07,375,15,"8,155",Other-LSL Replacement-2025,09/11/25,,,"208,188","208,188"
Part A-2,Northfield,1660010-03,327,15,"20,374",Other-LSL Replacement-s,10/06/25,,,"256,250","256,250"
Part A-2,Park Rapids,1290003-08,43,20,"4,163",Other-LSL Replacement-Central Ave,,,,"421,642","421,642"
