"RankNo.",Ranking,System Name,Project Description,Amount,Population
1,175,Flaxville,"Inventory, LSLR plan, LSLR andfilters.","$218,100.00",100
2,175,Roundup,"Inventory, LSLR plan, LSLR andf ilters.","$1,363,200.00","1,790"
3,175,Harlowton,LSLR,"$552,400.00",899
4,175,Philipsburg,"Inventory, LSLR plan, LSLR andfilters.","$1,205,000.00","1,020"
5,145,Butte Silver Bow,LSL replacement,"$20,000,000.00","35,411"
6,145,Wibaux,Inventory and LSLR,"$99,725.00",600
7,145,Great Falls,LSLR,"$1,832,000.00","60,000"
8,115,Sheridan,"Inventory, pigtail, and LSL removal","$170,000.00",869
9,115,Wolf Point,LSLR and filters,"$1,866,000.00","2,774"
10,115,"North ValleyCounty WSD","Inventory, LSLR plan, LSLR andfilters","$627,100.00",598
11,115,Opheim,"Inventory, LSLR plan, LSLR andfilters","$218,100.00",96
12,115,Roberts/Carbon County WSD,"Inventory, LSLR plan, LSLR andfilters","$381,600.00",299
13,115,Circle,"Inventory, LSLR plan, LSLR andf ilters.","$539,300.00",615
14,115,Fairfield,"Inventory, LSLR plan, LSLR andfilters","$1,257,100.00",755
15,115,Richey,"Inventory, LSLR plan, LSLR andfilters.","$200,100.00",186
16,115,Choteau,"Inventory, LSLR plan, LSLR andfilters","$6,328,500.00","1,061"
17,115,Dutton,"Inventory, LSLR plan, LSLR andfilters","$472,100.00",270
18,115,Shelby,"Inventory, LSLR plan, LSLR andfilters","$4,088,600.00","3,196"
19,115,Dodson,"Inventory, LSLR plan, LSLR andfilters","$216,900.00",94
20,85,"Power-TetonCounty Water &Sewer District","Inventory, LSL replacements","$305,000.00",186
21,85,Cascade,LSLR and filters,"$619,200.00",700
22,85,Thompson Falls,"Inventory, LSLR plan, LSLR andfilters","$1,345,700.00",1460
23,55,Glasgow,Service Line replacements,"$200,000.00","3,200"
24,55,Helena,"Inventory, LSL replacement & filters","$7,996,582.00","33,120"
25,55,Missoula Water,Inventory and replacement,"$4,544,506.00","75,514"
26,55,Three Forks,"Inventory, LSLR plan, LSLreplacements and filters","$3,806,300.00","1,991"
27,55,"Black Eagle-Cascade Co W&S","Inventory, LSLR","$1,100,000.00",923
28,55,Malta,"Inventory, LSLR plan, LSLR andfilters","$880,400.00","2,090"
29,55,Havre,"Inventory, LSLR plan, LSLR andfilters.","$2,108,500.00","9,786"
30,55,"White SulphurSprings","Inventory, LSLR plan, LSLR andfilters","$521,000.00",955
31,55,Harlem,"Inventory, LSLR plan, LSLR andfilters","$1,469,900.00",820
32,25,Westby,"Inventory, LSLR plan, LSLR andfilters","$299,800.00",134
33,25,Froid,"Inventory, LSLR plan, LSLR andfilters","$381,600.00",235
34,25,Ennis,"Inventory, LSLR plan, LSLR andfilters","$521,000.00",849
35,25,Belgrade,Inventory and LSLR,"$5,600,000.00","13,000"
